p,scenario,trial,seed,n_transmissions,conclusive_count,conclusive_fraction,qber,exact_qber,difference_from_exact,exact_conclusive_probability,difference_conclusive
0.03,single,1,2297876556,1000,258,0.258,0.04263565891472868,0.03846153846153849,0.00417412045319019,0.25999999999999995,-0.0019999999999999463
0.03,single,2,2547420018,1000,247,0.247,0.03643724696356275,0.03846153846153849,-0.0020242914979757415,0.25999999999999995,-0.012999999999999956
0.03,single,3,1675598588,1000,238,0.238,0.037815126050420166,0.03846153846153849,-0.0006464124111183259,0.25999999999999995,-0.021999999999999964
0.03,single,4,3488513628,1000,236,0.236,0.05084745762711865,0.03846153846153849,0.012385919165580156,0.25999999999999995,-0.023999999999999966
0.03,single,5,1124945860,1000,259,0.259,0.02702702702702703,0.03846153846153849,-0.011434511434511463,0.25999999999999995,-0.0009999999999999454
0.03,single,6,406175451,1000,254,0.254,0.023622047244094488,0.03846153846153849,-0.014839491217444004,0.25999999999999995,-0.00599999999999995
0.03,single,7,1510760107,1000,278,0.278,0.039568345323741004,0.03846153846153849,0.0011068068622025126,0.25999999999999995,0.01800000000000007
0.03,single,8,2266393856,1000,275,0.275,0.04363636363636364,0.03846153846153849,0.005174825174825148,0.25999999999999995,0.015000000000000069
0.03,single,9,3297113082,1000,252,0.252,0.023809523809523808,0.03846153846153849,-0.014652014652014683,0.25999999999999995,-0.007999999999999952
0.03,single,10,431530180,1000,255,0.255,0.027450980392156862,0.03846153846153849,-0.011010558069381629,0.25999999999999995,-0.004999999999999949
0.03,single,11,2235588984,1000,249,0.249,0.03614457831325301,0.03846153846153849,-0.002316960148285481,0.25999999999999995,-0.010999999999999954
0.03,single,12,865791814,1000,253,0.253,0.03557312252964427,0.03846153846153849,-0.00288841593189422,0.25999999999999995,-0.006999999999999951
0.03,single,13,3755054599,1000,262,0.262,0.0648854961832061,0.03846153846153849,0.026423957721667612,0.25999999999999995,0.0020000000000000573
0.03,single,14,1585731569,1000,266,0.266,0.04887218045112782,0.03846153846153849,0.010410641989589325,0.25999999999999995,0.006000000000000061
0.03,single,15,4190161855,1000,265,0.265,0.052830188679245285,0.03846153846153849,0.014368650217706794,0.25999999999999995,0.00500000000000006
0.03,single,16,740441459,1000,244,0.244,0.04918032786885246,0.03846153846153849,0.010718789407313967,0.25999999999999995,-0.01599999999999996
0.03,single,17,1921265487,1000,288,0.288,0.03819444444444445,0.03846153846153849,-0.0002670940170940439,0.25999999999999995,0.028000000000000025
0.03,single,18,1656985467,1000,240,0.24,0.0375,0.03846153846153849,-0.0009615384615384928,0.25999999999999995,-0.019999999999999962
0.03,single,19,2981405449,1000,262,0.262,0.030534351145038167,0.03846153846153849,-0.007927187316500325,0.25999999999999995,0.0020000000000000573
0.03,single,20,2604094537,1000,258,0.258,0.027131782945736434,0.03846153846153849,-0.011329755515802058,0.25999999999999995,-0.0019999999999999463
0.03,single,21,694011009,1000,256,0.256,0.04296875,0.03846153846153849,0.004507211538461509,0.25999999999999995,-0.003999999999999948
