d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.05,0.02,0.1,2,5.796899555555552e-01,7.225343999999997e-01,7.143111111111110e-01,1.428444444444443e-01,2.032006408848234e+00,2.043635895522213e+00,True,False,
0.05,0.05,0.01,1,6.254819999999992e-01,6.985439999999994e-01,8.538759999999996e-01,7.306199999999995e-02,2.195453418499239e+00,2.206416047178771e+00,True,False,
0.05,0.05,0.01,2,6.254755555555547e-01,6.985439999999994e-01,8.538631111111106e-01,7.306844444444438e-02,2.195435190857768e+00,2.206396095402948e+00,True,False,
0.05,0.05,0.05,1,5.646588888888879e-01,6.703199999999992e-01,7.886777777777773e-01,1.056611111111110e-01,2.063334444805538e+00,2.070112595546911e+00,True,False,
0.05,0.05,0.05,2,5.644977777777769e-01,6.703199999999995e-01,7.883555555555548e-01,1.058222222222221e-01,2.062878753768774e+00,2.069621592828319e+00,True,False,
0.05,0.05,0.1,1,4.928399999999992e-01,6.350399999999994e-01,7.155999999999997e-01,1.421999999999999e-01,1.910093405883595e+00,1.913488083683825e+00,True,False,
0.05,0.05,0.1,2,4.921955555555547e-01,6.350399999999994e-01,7.143111111111107e-01,1.428444444444443e-01,1.908270641736537e+00,1.911560791664015e+00,True,False,
0.05,0.1,0.01,1,4.788739999999995e-01,5.519359999999996e-01,8.538759999999996e-01,7.306199999999996e-02,1.988118396546844e+00,2.033457716769148e+00,True,False,
0.05,0.1,0.01,2,4.788675555555552e-01,5.519359999999998e-01,8.538631111111108e-01,7.306844444444438e-02,1.988100168905374e+00,2.033436067952317e+00,True,False,
0.05,0.1,0.05,1,4.239744444444437e-01,5.296355555555551e-01,7.886777777777773e-01,1.056611111111111e-01,1.864376595457281e+00,1.900027851237065e+00,True,False,
0.05,0.1,0.05,2,4.238133333333325e-01,5.296355555555551e-01,7.883555555555549e-01,1.058222222222221e-01,1.863920904420516e+00,1.899492883570717e+00,True,False,
0.05,0.1,0.1,1,3.595599999999994e-01,5.017599999999997e-01,7.155999999999996e-01,1.421999999999999e-01,1.721607022290510e+00,1.747966198300184e+00,True,False,
0.05,0.1,0.1,2,3.589155555555549e-01,5.017599999999995e-01,7.143111111111107e-01,1.428444444444443e-01,1.719784258143451e+00,1.745856192309996e+00,True,False,
0.1,0.0,0.01,1,6.117319999999993e-01,7.435999999999995e-01,7.362639999999996e-01,1.318679999999999e-01,2.092843739267696e+00,2.103218409961265e+00,True,False,
0.1,0.0,0.01,2,6.117195555555551e-01,7.435999999999997e-01,7.362391111111108e-01,1.318804444444444e-01,2.092808541063478e+00,2.103218409961266e+00,True,False,
0.1,0.0,0.05,1,5.537444444444435e-01,7.135555555555549e-01,6.803777777777772e-01,1.598111111111110e-01,1.971319425043935e+00,2.018239888346669e+00,True,False,
0.1,0.0,0.05,2,5.534333333333328e-01,7.135555555555552e-01,6.797555555555552e-01,1.601222222222222e-01,1.970439469938459e+00,2.018239888346669e+00,True,False,
0.1,0.0,0.1,1,4.851999999999993e-01,6.759999999999995e-01,6.183999999999996e-01,1.907999999999999e-01,1.830558035135733e+00,1.912016736328423e+00,True,False,
0.1,0.0,0.1,2,4.839555555555550e-01,6.759999999999995e-01,6.159111111111111e-01,1.920444444444443e-01,1.827038214713827e+00,1.912016736328423e+00,True,False,
0.1,0.02,0.01,1,5.534337599999997e-01,6.853017599999998e-01,7.362639999999997e-01,1.318680000000000e-01,2.010397577597216e+00,2.011689021648323e+00,True,False,
0.1,0.02,0.01,2,5.534213155555553e-01,6.853017599999999e-01,7.362391111111108e-01,1.318804444444444e-01,2.010362379392996e+00,2.011652585302717e+00,True,False,
0.1,0.02,0.05,1,4.978016888888884e-01,6.576127999999997e-01,6.803777777777774e-01,1.598111111111110e-01,1.892204421420746e+00,1.892478285442310e+00,True,False,
0.1,0.02,0.05,2,4.974905777777775e-01,6.576127999999999e-01,6.797555555555552e-01,1.601222222222222e-01,1.891324466315270e+00,1.891583685732652e+00,True,False,
0.1,0.02,0.1,1,4.322015999999996e-01,6.230015999999997e-01,6.183999999999997e-01,1.907999999999999e-01,1.755606979071659e+00,1.762114624200275e+00,True,False,
0.1,0.02,0.1,2,4.309571555555551e-01,6.230015999999996e-01,6.159111111111111e-01,1.920444444444443e-01,1.752087158649753e+00,1.762114624200275e+00,True,False,
0.1,0.05,0.01,1,4.704479999999992e-01,6.023159999999995e-01,7.362639999999994e-01,1.318679999999998e-01,1.893037990321376e+00,1.902492303849872e+00,True,False,
0.1,0.05,0.01,2,4.704355555555549e-01,6.023159999999996e-01,7.362391111111105e-01,1.318804444444443e-01,1.893002792117157e+00,1.902453776138256e+00,True,False,
0.1,0.05,0.05,1,4.181688888888879e-01,5.779799999999994e-01,6.803777777777771e-01,1.598111111111109e-01,1.779586635651001e+00,1.785468902998678e+00,True,False,
0.1,0.05,0.05,2,4.178577777777769e-01,5.779799999999994e-01,6.797555555555550e-01,1.601222222222221e-01,1.778706680545524e+00,1.784520659122377e+00,True,False,
0.1,0.05,0.1,1,3.567599999999992e-01,5.475599999999995e-01,6.183999999999994e-01,1.907999999999998e-01,1.648916445184532e+00,1.651957037698013e+00,True,False,
0.1,0.05,0.1,2,3.555155555555548e-01,5.475599999999994e-01,6.159111111111107e-01,1.920444444444442e-01,1.645396624762626e+00,1.648233539751115e+00,True,False,
0.1,0.1,0.01,1,3.440359999999993e-01,4.759039999999995e-01,7.362639999999995e-01,1.318679999999999e-01,1.714264425474668e+00,1.753361679645131e+00,True,False,
0.1,0.1,0.01,2,3.440235555555551e-01,4.759039999999998e-01,7.362391111111106e-01,1.318804444444444e-01,1.714229227270450e+00,1.753319874918069e+00,True,False,
0.1,0.1,0.05,1,2.968644444444437e-01,4.566755555555551e-01,6.803777777777772e-01,1.598111111111110e-01,1.608036245141534e+00,1.638861169880843e+00,True,False,
0.1,0.1,0.05,2,2.965533333333327e-01,4.566755555555552e-01,6.797555555555550e-01,1.601222222222221e-01,1.607156290036058e+00,1.637828047568628e+00,True,False,
0.1,0.1,0.1,1,2.418399999999993e-01,4.326399999999995e-01,6.183999999999995e-01,1.907999999999998e-01,1.486395022596616e+00,1.509431587850207e+00,True,False,
0.1,0.1,0.1,2,2.405955555555550e-01,4.326399999999996e-01,6.159111111111109e-01,1.920444444444443e-01,1.482875202174710e+00,1.505355594389741e+00,True,False,
