d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.053,0.053,0.053,1,5.423580172311597e-01,6.536842874702714e-01,7.773474595217768e-01,1.113262702391110e-01,2.023784504782618e+00,2.031326877201674e+00,True,True,0.053
0.053,0.053,0.053,2,5.421665283253820e-01,6.536842874702713e-01,7.769644817102215e-01,1.115177591448888e-01,2.023242892367428e+00,2.030740705776835e+00,True,True,0.053
0.054,0.054,0.054,1,5.350132687144956e-01,6.482115984424958e-01,7.736033405439997e-01,1.131983297280000e-01,2.010749969899376e+00,2.018554338982442e+00,True,True,0.054
0.054,0.054,0.054,2,5.348108749864957e-01,6.482115984424958e-01,7.731985530879999e-01,1.134007234559999e-01,2.010177513989223e+00,2.017933872903423e+00,True,True,0.054
0.055,0.055,0.055,1,5.277126371999995e-01,6.427748921999996e-01,7.698754899999998e-01,1.150622550000000e-01,1.997789329398775e+00,2.005859249444448e+00,True,True,0.055
0.055,0.055,0.055,2,5.274989377555551e-01,6.427748921999998e-01,7.694480911111106e-01,1.152759544444444e-01,1.997184896093565e+00,2.005203158742030e+00,True,True,0.055
0.056,0.056,0.056,1,5.204559311375927e-01,6.373739946967037e-01,7.661638728817778e-01,1.169180635591111e-01,1.984902287633702e+00,1.993241269114042e+00,True,True,0.056
0.056,0.056,0.056,2,5.202305182451477e-01,6.373739946967036e-01,7.657130470968881e-01,1.171434764515555e-01,1.984264723694443e+00,1.992548197269050e+00,True,True,0.056
0.057,0.057,0.057,1,5.132429595489273e-01,6.320087324369277e-01,7.624684542239992e-01,1.187657728879999e-01,1.972088549795761e+00,1.980700059638780e+00,True,True,0.057
0.057,0.057,0.057,2,5.130054186609276e-01,6.320087324369278e-01,7.619933724479997e-01,1.190033137760000e-01,1.971416682704906e+00,1.979968623520290e+00,True,True,0.057
0.058,0.058,0.058,1,5.060735320265382e-01,6.266789324745383e-01,7.587891991039998e-01,1.206054004480000e-01,1.959347821914080e+00,1.968235283785266e+00,True,True,0.058
0.058,0.058,0.058,2,5.058234418007606e-01,6.266789324745384e-01,7.582890186524442e-01,1.208554906737778e-01,1.958640459935857e+00,1.967464073589466e+00,True,True,0.058
0.059,0.059,0.059,1,4.989474587329848e-01,6.213844224120961e-01,7.551260726417774e-01,1.224369636791111e-01,1.946679810854091e+00,1.955846605436949e+00,True,True,0.059
0.059,0.059,0.059,2,4.986843910538739e-01,6.213844224120960e-01,7.545999372835557e-01,1.227000313582222e-01,1.945935743094849e+00,1.955034184626714e+00,True,True,0.059
0.06,0.06,0.06,1,4.918645503999994e-01,6.161250303999996e-01,7.514790399999997e-01,1.242604799999999e-01,1.934084224316328e+00,1.943533689591947e+00,True,True,0.06
0.06,0.06,0.06,2,4.915880703999995e-01,6.161250303999997e-01,7.509260799999997e-01,1.245369599999999e-01,1.933302220784878e+00,1.942678594837104e+00,True,True,0.06
0.061,0.061,0.061,1,4.848246183276381e-01,6.109005851356377e-01,7.478480663840007e-01,1.260759668080000e-01,1.921560770835227e+00,1.931296202360843e+00,True,True,0.061
0.061,0.061,0.061,2,4.845342844085266e-01,6.109005851356376e-01,7.472673985457779e-01,1.263663007271112e-01,1.920739582503178e+00,1.930396943479179e+00,True,True,0.061
0.062,0.062,0.062,1,4.778274743834167e-01,6.057109158625278e-01,7.442331170417777e-01,1.278834414791111e-01,1.909109159777901e+00,1.919133810964460e+00,True,True,0.062
0.062,0.062,0.062,2,4.775228382376389e-01,6.057109158625279e-01,7.436238447502220e-01,1.281880776248888e-01,1.908247518640004e+00,1.918188870863476e+00,True,True,0.062
0.063,0.063,0.063,1,4.708729310014722e-01,6.005558523694721e-01,7.406341572640003e-01,1.296829213680000e-01,1.896729101342958e+00,1.907046183731667e+00,True,True,0.063
0.063,0.063,0.063,2,4.705535376334721e-01,6.005558523694721e-01,7.399953705280001e-01,1.300023147360000e-01,1.895825720477443e+00,1.906054018351102e+00,True,True,0.063
0.064,0.064,0.064,1,4.639608011816952e-01,5.954352249896955e-01,7.370511523839994e-01,1.314744238079999e-01,1.884420306559273e+00,1.895032990097123e+00,True,True,0.064
0.064,0.064,0.064,2,4.636261889292511e-01,5.954352249896958e-01,7.363819278791106e-01,1.318090360604444e-01,1.883473880188188e+00,1.893992028352269e+00,True,True,0.064
0.065,0.065,0.065,1,4.570908984888882e-01,5.903488645999996e-01,7.334840677777772e-01,1.332579661111110e-01,1.872182487284796e+00,1.883093900599058e+00,True,True,0.065
0.065,0.065,0.065,2,4.567405990444439e-01,5.903488645999998e-01,7.327834688888881e-01,1.336082655555556e-01,1.871191690834346e+00,1.882002544324891e+00,True,True,0.065
0.066,0.066,0.066,1,4.502630370519035e-01,5.852966026199037e-01,7.299328688639997e-01,1.350335655679999e-01,1.860015356205334e+00,1.871228586877007e+00,True,True,0.066
0.066,0.066,0.066,2,4.498965754839035e-01,5.852966026199038e-01,7.291999457279994e-01,1.354000271360000e-01,1.858978846366225e+00,1.870085210773155e+00,True,True,0.066
0.067,0.067,0.067,1,4.434770315627939e-01,5.802782710107942e-01,7.263975211039994e-01,1.368012394480000e-01,1.847918626833348e+00,1.859436721669562e+00,True,True,0.067
0.067,0.067,0.067,2,4.430939263370165e-01,5.802782710107944e-01,7.256313106524441e-01,1.371843446737777e-01,1.846835041621127e+00,1.858239673246119e+00,True,True,0.067
0.068,0.068,0.068,1,4.367326972759598e-01,5.752937022750714e-01,7.228779900017769e-01,1.385610049991110e-01,1.835892013506751e+00,1.847717978812100e+00,True,True,0.068
0.068,0.068,0.068,2,4.363324602768487e-01,5.752937022750714e-01,7.220775160035547e-01,1.389612419982221e-01,1.834759972322138e+00,1.846465578336322e+00,True,True,0.068
0.069,0.069,0.069,1,4.300298500072954e-01,5.703427294552956e-01,7.193742411039996e-01,1.403128794480000e-01,1.823935231387697e+00,1.836072033234505e+00,True,True,0.069
0.069,0.069,0.069,2,4.296119865592954e-01,5.703427294552956e-01,7.185385142079995e-01,1.407307428960000e-01,1.822753335076933e+00,1.834762573678411e+00,True,True,0.069
0.07,0.07,0.07,1,4.233683061333327e-01,5.654251861333329e-01,7.158862399999995e-01,1.420568799999999e-01,1.812047996461371e+00,1.824498560958874e+00,True,True,0.07
0.07,0.07,0.07,2,4.229323150222219e-01,5.654251861333330e-01,7.150142577777777e-01,1.424928711111110e-01,1.810814827376557e+00,1.823130307947757e+00,True,True,0.07
0.071,0.071,0.071,1,4.167478825903927e-01,5.605409064295039e-01,7.124139523217776e-01,1.437930238391110e-01,1.800230025534790e+00,1.812997239097231e+00,True,True,0.071
0.071,0.071,0.071,2,4.162932560846152e-01,5.605409064295042e-01,7.115046993102221e-01,1.442476503448889e-01,1.798944147594220e+00,1.811568430859116e+00,True,True,0.071
0.072,0.072,0.072,1,4.101683968737281e-01,5.556897250017281e-01,7.089573437440001e-01,1.455213281279999e-01,1.788481036235588e+00,1.801567745849203e+00,True,True,0.072
0.072,0.072,0.072,2,4.096946207457280e-01,5.556897250017281e-01,7.080097914879999e-01,1.459951042560000e-01,1.787140994984096e+00,1.800076593165277e+00,True,True,0.072
0.073,0.073,0.073,1,4.036296670366715e-01,5.508714770446717e-01,7.055163799839997e-01,1.472418100079999e-01,1.776800747010816e+00,1.790209760499708e+00,True,True,0.073
