d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.36,0.36,0.36,1,0.000000000000000e+00,1.356759040000004e-02,2.403558400000000e-01,3.798220799999998e-01,3.591019590759807e-01,4.814769333264793e-01,False,True,0.36
0.36,0.36,0.36,2,0.000000000000000e+00,1.356759040000004e-02,1.457996800000000e-01,4.271001600000000e-01,2.253793551980604e-01,2.928591893546424e-01,False,True,0.36
0.37,0.37,0.37,1,0.000000000000000e+00,1.093281280000000e-02,2.387886399999998e-01,3.806056799999998e-01,3.531594653652724e-01,4.780775710646520e-01,False,True,0.37
0.37,0.37,0.37,2,0.000000000000000e+00,1.093281280000000e-02,1.370323911111112e-01,4.314838044444441e-01,2.092543981303939e-01,2.749356478112533e-01,False,True,0.37
0.38,0.38,0.38,1,0.000000000000000e+00,8.691507200000035e-03,2.379544177777778e-01,3.810227911111111e-01,3.488100122076303e-01,4.762261951525510e-01,False,True,0.38
0.38,0.38,0.38,2,0.000000000000000e+00,8.691507200000028e-03,1.286981688888891e-01,4.356509155555556e-01,1.942983432549535e-01,2.579826426158215e-01,False,True,0.38
0.39,0.39,0.39,1,0.000000000000000e+00,6.802329600000004e-03,2.378318400000001e-01,3.810840800000000e-01,3.459649604681999e-01,4.758581965492353e-01,False,True,0.39
0.39,0.39,0.39,2,0.000000000000000e+00,6.802329599999993e-03,1.207756800000002e-01,4.396121599999997e-01,1.804225514368852e-01,2.419341775562062e-01,False,True,0.39
0.4,0.4,0.4,1,0.000000000000000e+00,5.226666666666673e-03,2.384000000000001e-01,3.808000000000001e-01,3.445401361557493e-01,4.769145753463380e-01,False,True,0.4
0.4,0.4,0.4,2,0.000000000000000e+00,5.226666666666682e-03,1.132444444444444e-01,4.433777777777777e-01,1.675434520827433e-01,2.267299913286754e-01,False,True,0.4
0.41,0.41,0.41,1,0.000000000000000e+00,3.928550399999997e-03,2.396384177777778e-01,3.801807911111112e-01,3.444557097431095e-01,4.793412345429177e-01,False,True,0.41
0.41,0.41,0.41,2,0.000000000000000e+00,3.928550400000005e-03,1.060848355555558e-01,4.469575822222222e-01,1.555824224609327e-01,2.123151039666717e-01,False,True,0.41
0.42,0.42,0.42,1,0.000000000000000e+00,2.874572800000005e-03,2.415270399999999e-01,3.792364800000000e-01,3.456360754876177e-01,4.830882909777219e-01,False,True,0.42
0.42,0.42,0.42,2,0.000000000000000e+00,2.874572800000003e-03,9.927807999999985e-02,4.503609599999999e-01,1.444656670221497e-01,1.986393751225458e-01,False,True,0.42
0.43,0.43,0.43,1,0.000000000000000e+00,2.033800533333338e-03,2.440462400000000e-01,3.779768800000000e-01,3.480097307515608e-01,4.881094287257602e-01,False,True,0.43
0.43,0.43,0.43,2,0.000000000000000e+00,2.033800533333335e-03,9.280625777777773e-02,4.535968711111110e-01,1.341240967198285e-01,1.856570798792733e-01,False,True,0.43
0.44,0.44,0.44,1,0.000000000000000e+00,1.377689600000002e-03,2.471768177777777e-01,3.764115911111111e-01,3.515091553226167e-01,4.943613143253937e-01,False,True,0.44
0.44,0.44,0.44,2,0.000000000000000e+00,1.377689599999999e-03,8.665230222222250e-02,4.566738488888890e-01,1.244932083305796e-01,1.733265070212325e-01,False,True,0.44
0.45,0.45,0.45,1,0.000000000000000e+00,8.800000000000024e-04,2.509000000000000e-01,3.745500000000002e-01,3.560706907342978e-01,5.018030864791487e-01,False,True,0.45
0.45,0.45,0.45,2,0.000000000000000e+00,8.800000000000058e-04,8.080000000000012e-02,4.596000000000001e-01,1.155129637746347e-01,1.616095838742247e-01,False,True,0.45
0.46,0.46,0.46,1,0.000000000000000e+00,5.167104000000077e-04,2.551974400000000e-01,3.724012800000001e-01,3.616344195863935e-01,5.103959262070616e-01,False,True,0.46
0.46,0.46,0.46,2,0.000000000000000e+00,5.167104000000089e-04,7.523399111111101e-02,4.623830044444445e-01,1.071276694362893e-01,1.504715309704025e-01,False,True,0.46
0.47,0.47,0.47,1,0.000000000000000e+00,2.659328000000113e-04,2.600512177777778e-01,3.699743911111111e-01,3.681440448654126e-01,5.201027075028907e-01,False,True,0.47
0.47,0.47,0.47,2,0.000000000000000e+00,2.659328000000037e-04,6.993976888888903e-02,4.650301155555555e-01,9.928585548434654e-02,1.398805489335143e-01,False,True,0.47
0.48,0.48,0.48,1,0.000000000000000e+00,1.078272000000001e-04,2.654438400000001e-01,3.672780800000002e-01,3.755467692650268e-01,5.308877238009962e-01,False,True,0.48
0.48,0.48,0.48,2,0.000000000000000e+00,1.078272000000057e-04,6.490367999999996e-02,4.675481600000003e-01,9.194015519255605e-02,1.298075391377166e-01,False,True,0.48
0.49,0.49,0.49,1,0.000000000000000e+00,2.451626666666793e-05,2.713582400000001e-01,3.643208800000000e-01,3.837931745065120e-01,5.427164822149591e-01,False,True,0.49
0.49,0.49,0.49,2,0.000000000000000e+00,2.451626666667185e-05,6.011292444444449e-02,4.699435377777775e-01,8.504718426006130e-02,1.202258588875259e-01,False,True,0.49
0.5,0.5,0.5,1,0.000000000000000e+00,0.000000000000000e+00,2.777777777777780e-01,3.611111111111115e-01,3.928371006591933e-01,5.555555555555560e-01,False,True,0.5
0.5,0.5,0.5,2,0.000000000000000e+00,0.000000000000000e+00,5.555555555555541e-02,4.722222222222224e-01,7.856742013183843e-02,1.111111111111108e-01,False,True,0.5
0.51,0.51,0.51,1,0.000000000000000e+00,2.007040000000150e-05,2.846862399999999e-01,3.576568799999998e-01,4.026355254608841e-01,5.693724814149644e-01,False,True,0.51
0.51,0.51,0.51,2,0.000000000000000e+00,2.007040000000238e-05,5.122047999999996e-02,4.743897599999998e-01,7.246508131914203e-02,1.024409678644506e-01,False,True,0.51
0.52,0.52,0.52,1,0.000000000000000e+00,7.222613333333405e-05,2.920678399999999e-01,3.539660800000000e-01,4.131484436383327e-01,5.841356978609675e-01,False,True,0.52
0.52,0.52,0.52,2,0.000000000000000e+00,7.222613333333384e-05,4.709745777777768e-02,4.764512711111111e-01,6.670800671994520e-02,9.419502631761165e-02,False,True,0.52
0.53,0.53,0.53,1,0.000000000000000e+00,1.455872000000013e-04,2.999072177777776e-01,3.500463911111110e-01,4.243387462276625e-01,5.998145062295180e-01,False,True,0.53
0.53,0.53,0.53,2,0.000000000000000e+00,1.455872000000035e-04,4.317710222222215e-02,4.784114488888888e-01,6.126753493938406e-02,8.635469534289435e-02,False,True,0.53
0.54,0.54,0.54,1,0.000000000000000e+00,2.308096000000002e-04,3.081894400000000e-01,3.459052800000000e-01,4.361720998948153e-01,6.163790528581745e-01,False,True,0.54
0.54,0.54,0.54,2,0.000000000000000e+00,2.308095999999996e-04,3.945087999999983e-02,4.802745600000002e-01,5.611838361019916e-02,7.890311035303586e-02,False,True,0.54
0.55,0.55,0.55,1,0.000000000000000e+00,3.199999999999996e-04,3.169000000000000e-01,3.415499999999999e-01,4.486168262559931e-01,6.338003231302426e-01,False,True,0.55
0.55,0.55,0.55,2,0.000000000000000e+00,3.200000000000008e-04,3.591111111111112e-02,4.820444444444444e-01,5.123852871317985e-02,7.182507365076818e-02,False,True,0.55
0.56,0.56,0.56,1,0.000000000000000e+00,4.066303999999985e-04,3.260248177777777e-01,3.369875911111110e-01,4.616437811981034e-01,6.520501427200682e-01,False,True,0.56
0.56,0.56,0.56,2,0.000000000000000e+00,4.066304000000017e-04,3.255096888888886e-02,4.837245155555553e-01,4.660908389760450e-02,6.510701725275440e-02,False,True,0.56
0.57,0.57,0.57,1,0.000000000000000e+00,4.854527999999993e-04,3.355502399999998e-01,3.322248799999998e-01,4.752262341991987e-01,6.711011823219460e-01,False,True,0.57
0.57,0.57,0.57,2,0.000000000000000e+00,4.854527999999985e-04,2.936448000000003e-02,4.853177599999997e-01,4.221417980168547e-02,5.873698494445997e-02,False,True,0.57
0.58,0.58,0.58,1,0.000000000000000e+00,5.524138666666662e-04,3.454630400000001e-01,3.272684800000001e-01,4.893397476489220e-01,6.909269633387358e-01,False,True,0.58
0.58,0.58,0.58,2,0.000000000000000e+00,5.524138666666671e-04,2.634652444444441e-02,4.868267377777779e-01,3.804084337301056e-02,5.270463020956669e-02,False,True,0.58
0.59,0.59,0.59,1,0.000000000000000e+00,6.045696000000006e-04,3.557504177777777e-01,3.221247911111111e-01,5.039620561689462e-01,7.115018629728656e-01,False,True,0.59
0.59,0.59,0.59,2,0.000000000000000e+00,6.045696000000012e-04,2.349283555555567e-02,4.882535822222223e-01,3.407887718898617e-02,4.700122665810436e-02,False,True,0.59
0.6,0.6,0.6,1,0.000000000000000e+00,6.400000000000010e-04,3.663999999999998e-01,3.168000000000000e-01,5.190729459334207e-01,7.328011179030771e-01,False,True,0.6
0.6,0.6,0.6,2,0.000000000000000e+00,6.399999999999999e-04,2.080000000000001e-02,4.896000000000001e-01,3.032073877727920e-02,4.161968764899614e-02,False,True,0.6
0.61,0.61,0.61,1,0.000000000000000e+00,6.577237333333337e-04,3.773998399999999e-01,3.113000799999999e-01,5.346541339894106e-01,7.548008262648761e-01,False,True,0.61
0.61,0.61,0.61,2,0.000000000000000e+00,6.577237333333331e-04,1.826545777777780e-02,4.908672711111108e-01,2.676141993626120e-02,3.655459196003553e-02,False,True,0.61
0.62,0.62,0.62,1,0.000000000000000e+00,6.576128000000022e-04,3.887384177777778e-01,3.056307911111110e-01,5.506891475773417e-01,7.774779480112985e-01,False,True,0.62
