d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.003,0.003,0.003,0.85,1,8.306260163121311e-01,-8.306260163121311e-01,8.381709073223998e-01,8.091454633880002e-02,2.360035242250452e+00,2.360059362690876e+00,7.497114699733309e-01,-1.000678495250258e-01,True,True,True,True,0.003
0.003,0.003,0.003,0.85,2,8.306260163121307e-01,-8.306260163121307e-01,8.381708354663999e-01,8.091458226679998e-02,2.360035140630722e+00,2.360059260612752e+00,7.497114340453307e-01,-1.000680770424371e-01,True,True,True,True,0.003
0.003,0.003,0.003,0.9,1,8.794863702128447e-01,-8.794863702128447e-01,8.874745489295999e-01,5.626272553520000e-02,2.498860096034475e+00,2.498885631947138e+00,8.232236446776446e-01,1.426760096231077e-01,True,True,True,True,0.003
0.003,0.003,0.003,0.9,2,8.794863702128446e-01,-8.794863702128446e-01,8.874744770735998e-01,5.626276146319999e-02,2.498859994414745e+00,2.498885529869045e+00,8.232236087496445e-01,1.426757447640656e-01,True,True,True,True,0.003
0.003,0.003,0.003,0.95,1,9.283467241135580e-01,-9.283467241135580e-01,9.367781905367992e-01,3.161090473160003e-02,2.637684949818496e+00,2.637711901203597e+00,8.967358193819577e-01,4.313930438985913e-01,True,True,True,True,0.003
0.003,0.003,0.003,0.95,2,9.283467241135580e-01,-9.283467241135580e-01,9.367781186807997e-01,3.161094065960002e-02,2.637684848198767e+00,2.637711799125532e+00,8.967357834539579e-01,4.313927211686894e-01,True,True,True,True,0.003
0.003,0.003,0.003,1.0,1,9.772070780142720e-01,-9.772070780142720e-01,9.860818321440000e-01,6.959083927999999e-03,2.776509803602521e+00,2.776538170460229e+00,9.702479940862720e-01,8.070121702513082e-01,True,True,True,True,0.003
0.003,0.003,0.003,1.0,2,9.772070780142719e-01,-9.772070780142719e-01,9.860817602879999e-01,6.959119855999997e-03,2.776509701982791e+00,2.776538068382187e+00,9.702479581582718e-01,8.070117033659463e-01,True,True,True,True,0.003
0.004,0.004,0.004,0.5,1,4.848504636265816e-01,-4.848504636265816e-01,4.907473566720000e-01,2.546263216640003e-01,1.379703668887884e+00,1.379728872147664e+00,2.302241419625816e-01,,False,True,False,True,0.004
0.004,0.004,0.004,0.5,2,4.848504636265814e-01,-4.848504636265814e-01,4.907471864604446e-01,2.546264067697781e-01,1.379703428172393e+00,1.379728629981640e+00,2.302240568568037e-01,,False,True,False,True,0.004
