d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.005,0.005,0.005,0.8,2,7.697921457599993e-01,-7.697921457599993e-01,7.815196019999991e-01,1.092401989999999e-01,2.193886113150900e+00,2.193948801575845e+00,6.605519467599990e-01,-3.455587883797450e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.82,1,7.890369494039990e-01,-7.890369494039990e-01,8.010573075777772e-01,9.947134621111102e-02,2.248732863675197e+00,2.248797116281081e+00,6.895656031928876e-01,-2.673081514462315e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.82,2,7.890369494039993e-01,-7.890369494039993e-01,8.010569753555548e-01,9.947151232222222e-02,2.248732393842025e+00,2.248796642909767e+00,6.895654370817766e-01,-2.673091006254449e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.84,1,8.082817530479994e-01,-8.082817530479994e-01,8.205946809333321e-01,8.970265953333331e-02,2.303579144366322e+00,2.303644957615148e+00,7.185790935146654e-01,-1.849991453147017e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.84,2,8.082817530479992e-01,-8.082817530479992e-01,8.205943487111105e-01,8.970282564444439e-02,2.303578674533150e+00,2.303644484244006e+00,7.185789274035544e-01,-1.850001444469271e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.86,1,8.275265566919995e-01,-8.275265566919995e-01,8.401320542888880e-01,7.993397285555554e-02,2.358425425057448e+00,2.358492798949519e+00,7.475925838364434e-01,-9.822846341813529e-02,True,True,True,True,0.005
0.005,0.005,0.005,0.86,2,8.275265566919994e-01,-8.275265566919994e-01,8.401317220666655e-01,7.993413896666664e-02,2.358424955224275e+00,2.358492325578540e+00,7.475924177253321e-01,-9.822951773378341e-02,True,True,True,True,0.005
0.005,0.005,0.005,0.88,1,8.467713603359993e-01,-8.467713603359993e-01,8.596694276444437e-01,7.016528617777769e-02,2.413271705748574e+00,2.413340640284172e+00,7.766060741582211e-01,-6.494729556663859e-03,True,True,True,True,0.005
0.005,0.005,0.005,0.88,2,8.467713603359993e-01,-8.467713603359993e-01,8.596690954222216e-01,7.016545228888890e-02,2.413271235915401e+00,2.413340166913351e+00,7.766059080471102e-01,-6.495845653093468e-03,True,True,True,True,0.005
0.005,0.005,0.005,0.9,1,8.660161639799995e-01,-8.660161639799995e-01,8.792068009999990e-01,6.039659949999999e-02,2.468117986439699e+00,2.468188481619088e+00,8.056195644799991e-01,9.084319700437293e-02,True,True,True,True,0.005
0.005,0.005,0.005,0.9,2,8.660161639799995e-01,-8.660161639799995e-01,8.792064687777765e-01,6.039676561111108e-02,2.468117516606526e+00,2.468188008248416e+00,8.056193983688877e-01,9.084201055721830e-02,True,True,True,True,0.005
0.005,0.005,0.005,0.92,1,8.852609676239992e-01,-8.852609676239992e-01,8.987441743555548e-01,5.062791282222219e-02,2.522964267130824e+00,2.523036322954251e+00,8.346330548017766e-01,1.946330240075883e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.92,2,8.852609676239993e-01,-8.852609676239993e-01,8.987438421333326e-01,5.062807893333328e-02,2.522963797297652e+00,2.523035849583723e+00,8.346328886906655e-01,1.946317556415553e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.94,1,9.045057712679991e-01,-9.045057712679991e-01,9.182815477111104e-01,4.085922614444443e-02,2.577810547821950e+00,2.577884164289645e+00,8.636465451235543e-01,3.060465995191853e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.94,2,9.045057712679991e-01,-9.045057712679991e-01,9.182812154888880e-01,4.085939225555556e-02,2.577810077988777e+00,2.577883690919253e+00,8.636463790124431e-01,3.060452327806948e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.96,1,9.237505749119991e-01,-9.237505749119991e-01,9.378189210666658e-01,3.109053946666667e-02,2.632656828513074e+00,2.632732005625254e+00,8.926600354453320e-01,4.268082587931761e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.96,2,9.237505749119990e-01,-9.237505749119990e-01,9.378185888444435e-01,3.109070557777777e-02,2.632656358679902e+00,2.632731532254994e+00,8.926598693342207e-01,4.268067684427683e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.98,1,9.429953785559991e-01,-9.429953785559991e-01,9.573562944222215e-01,2.132185278888890e-02,2.687503109204200e+00,2.687579846961068e+00,9.216735257671098e-01,5.597072828587452e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.98,2,9.429953785559992e-01,-9.429953785559992e-01,9.573559621999991e-01,2.132201890000000e-02,2.687502639371028e+00,2.687579373590933e+00,9.216733596559987e-01,5.597056252506853e-01,True,True,True,True,0.005
0.005,0.005,0.005,1.0,1,9.622401821999994e-01,-9.622401821999994e-01,9.768936677777771e-01,1.155316611111110e-02,2.742349389895326e+00,2.742427688297072e+00,9.506870160888879e-01,7.100609665243309e-01,True,True,True,True,0.005
0.005,0.005,0.005,1.0,2,9.622401821999992e-01,-9.622401821999992e-01,9.768933355555546e-01,1.155333222222221e-02,2.742348920062152e+00,2.742427214927058e+00,9.506868499777765e-01,7.100590471229993e-01,True,True,True,True,0.005
0.01,0.01,0.01,0.5,1,4.628052351999998e-01,-4.628052351999998e-01,4.771691200000000e-01,2.614154400000002e-01,1.329324481406745e+00,1.329479679889996e+00,2.013897951999998e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.5,2,4.628052351999998e-01,-4.628052351999998e-01,4.771664711111109e-01,2.614167644444444e-01,1.329320735312152e+00,1.329475876999892e+00,2.013884707555552e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.52,1,4.813174446079998e-01,-4.813174446079998e-01,4.962518848000003e-01,2.518740576000001e-01,1.382491803808765e+00,1.382653124469804e+00,2.294433870079999e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.52,2,4.813174446079998e-01,-4.813174446079998e-01,4.962492359111108e-01,2.518753820444444e-01,1.382488057714172e+00,1.382649321594360e+00,2.294420625635552e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.54,1,4.998296540160001e-01,-4.998296540160001e-01,5.153346495999993e-01,2.423326752000000e-01,1.435659126210785e+00,1.435826569070385e+00,2.574969788159998e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.54,2,4.998296540159999e-01,-4.998296540159999e-01,5.153320007111107e-01,2.423339996444443e-01,1.435655380116193e+00,1.435822766208518e+00,2.574956543715552e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.56,1,5.183418634239998e-01,-5.183418634239998e-01,5.344174143999998e-01,2.327912927999999e-01,1.488826448612805e+00,1.489000013689517e+00,2.855505706239997e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.56,2,5.183418634239998e-01,-5.183418634239998e-01,5.344147655111111e-01,2.327926172444444e-01,1.488822702518214e+00,1.488996210840256e+00,2.855492461795553e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.58,1,5.368540728319998e-01,-5.368540728319998e-01,5.535001792000001e-01,2.232499103999999e-01,1.541993771014826e+00,1.542173458325280e+00,3.136041624319998e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.58,2,5.368540728319995e-01,-5.368540728319995e-01,5.534975303111112e-01,2.232512348444445e-01,1.541990024920234e+00,1.542169655487755e+00,3.136028379875551e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.6,1,5.553662822399997e-01,-5.553662822399997e-01,5.725829439999996e-01,2.137085280000000e-01,1.595161093416846e+00,1.595346902976009e+00,3.416577542399996e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.6,2,5.553662822399998e-01,-5.553662822399998e-01,5.725802951111112e-01,2.137098524444444e-01,1.595157347322254e+00,1.595343100149440e+00,3.416564297955554e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.62,1,5.738784916480000e-01,-5.738784916480000e-01,5.916657088000004e-01,2.041671456000001e-01,1.648328415818867e+00,1.648520347640259e+00,3.697113460480002e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.62,2,5.738784916479999e-01,-5.738784916479999e-01,5.916630599111110e-01,2.041684700444445e-01,1.648324669724274e+00,1.648516544823937e+00,3.697100216035554e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.64,1,5.923907010560001e-01,-5.923907010560001e-01,6.107484735999995e-01,1.946257631999999e-01,1.701495738220887e+00,1.701693792316759e+00,3.977649378559999e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.64,2,5.923907010560000e-01,-5.923907010560000e-01,6.107458247111108e-01,1.946270876444444e-01,1.701491992126295e+00,1.701689989510045e+00,3.977636134115554e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.66,1,6.109029104639998e-01,-6.109029104639998e-01,6.298312384000000e-01,1.850843807999999e-01,1.754663060622907e+00,1.754867237004399e+00,4.258185296639998e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.66,2,6.109029104639997e-01,-6.109029104639997e-01,6.298285895111110e-01,1.850857052444443e-01,1.754659314528315e+00,1.754863434206709e+00,4.258172052195552e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.68,1,6.294151198720001e-01,-6.294151198720001e-01,6.489140031999997e-01,1.755429983999999e-01,1.807830383024927e+00,1.808040681702194e+00,4.538721214719999e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.68,2,6.294151198719999e-01,-6.294151198719999e-01,6.489113543111109e-01,1.755443228444444e-01,1.807826636930335e+00,1.808036878912999e+00,4.538707970275554e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.7,1,6.479273292799997e-01,-6.479273292799997e-01,6.679967679999996e-01,1.660016160000001e-01,1.860997705426947e+00,1.861214126409273e+00,4.819257132799996e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.7,2,6.479273292800000e-01,-6.479273292800000e-01,6.679941191111110e-01,1.660029404444445e-01,1.860993959332356e+00,1.861210323628087e+00,4.819243888355554e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.72,1,6.664395386879999e-01,-6.664395386879999e-01,6.870795327999999e-01,1.564602336000001e-01,1.914165027828968e+00,1.914387571124865e+00,5.099793050879998e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.72,2,6.664395386879998e-01,-6.664395386879998e-01,6.870768839111108e-01,1.564615580444444e-01,1.914161281734375e+00,1.914383768351243e+00,5.099779806435552e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.74,1,6.849517480959997e-01,-6.849517480959997e-01,7.061622976000000e-01,1.469188512000000e-01,1.967332350230988e+00,1.967561015848278e+00,5.380328968959998e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.74,2,6.849517480959999e-01,-6.849517480959999e-01,7.061596487111110e-01,1.469201756444445e-01,1.967328604136396e+00,1.967557213081811e+00,5.380315724515554e-01,,False,True,False,True,0.01
0.01,0.01,0.01,0.76,1,7.034639575039999e-01,-7.034639575039999e-01,7.252450623999993e-01,1.373774688000000e-01,2.020499672633008e+00,2.020734460578894e+00,5.660864887039996e-01,-5.624145759748606e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.76,2,7.034639575039996e-01,-7.034639575039996e-01,7.252424135111109e-01,1.373787932444444e-01,2.020495926538416e+00,2.020730657819206e+00,5.660851642595550e-01,-5.624208354297506e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.78,1,7.219761669119997e-01,-7.219761669119997e-01,7.443278271999996e-01,1.278360864000000e-01,2.073666995035028e+00,2.073907905316161e+00,5.941400805119995e-01,-4.966576213255484e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.78,2,7.219761669119998e-01,-7.219761669119998e-01,7.443251783111108e-01,1.278374108444444e-01,2.073663248940437e+00,2.073904102562904e+00,5.941387560675553e-01,-4.966641655922687e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.8,1,7.404883763199998e-01,-7.404883763199998e-01,7.634105920000001e-01,1.182947039999999e-01,2.126834317437049e+00,2.127081350059579e+00,6.221936723199998e-01,-4.278717821886167e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.8,2,7.404883763199999e-01,-7.404883763199999e-01,7.634079431111108e-01,1.182960284444444e-01,2.126830571342457e+00,2.127077547312431e+00,6.221923478755553e-01,-4.278786301066164e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.82,1,7.590005857279999e-01,-7.590005857279999e-01,7.824933567999998e-01,1.087533216000001e-01,2.180001639839069e+00,2.180254794808697e+00,6.502472641279997e-01,-3.558468831067312e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.82,2,7.590005857279996e-01,-7.590005857279996e-01,7.824907079111111e-01,1.087546460444445e-01,2.179997893744477e+00,2.180250992067361e+00,6.502459396835552e-01,-3.558540567153046e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.84,1,7.775127951359997e-01,-7.775127951359997e-01,8.015761216000001e-01,9.921193919999997e-02,2.233168962241090e+00,2.233428239563110e+00,6.783008559359998e-01,-2.803357849875504e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.84,2,7.775127951359998e-01,-7.775127951359998e-01,8.015734727111108e-01,9.921326364444444e-02,2.233165216146498e+00,2.233424436827309e+00,6.782995314915552e-01,-2.803433103861763e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.86,1,7.960250045439998e-01,-7.960250045439998e-01,8.206588863999995e-01,8.967055680000004e-02,2.286336284643109e+00,2.286601684322446e+00,7.063544477439996e-01,-2.010440497641812e-01,True,True,True,True,0.01
