d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.01,0.1,0.1,0.8,2,4.485939199999996e-01,-4.485939199999996e-01,6.405703111111103e-01,1.797148444444444e-01,1.540310827288996e+00,1.564054766992449e+00,2.688790755555548e-01,,False,True,False,False,
0.01,0.1,0.1,1.0,1,5.607423999999996e-01,-5.607423999999996e-01,7.985439999999994e-01,1.007279999999999e-01,1.922321262029298e+00,1.951516906505048e+00,4.600143999999993e-01,,False,True,False,False,
0.01,0.1,0.1,1.0,2,5.607423999999996e-01,-5.607423999999996e-01,7.982791111111109e-01,1.008604444444444e-01,1.921946652570110e+00,1.951083369201947e+00,4.598819555555551e-01,,False,True,False,False,
0.05,0.0,0.01,0.6,1,5.174399999999997e-01,-5.174399999999997e-01,5.123655999999994e-01,2.438172000000000e-01,1.456365046127761e+00,1.463541331428668e+00,2.736227999999994e-01,,False,True,False,False,
0.05,0.0,0.01,0.6,2,5.174399999999997e-01,-5.174399999999997e-01,5.123527111111109e-01,2.438236444444444e-01,1.456346818486291e+00,1.463541331428668e+00,2.736163555555551e-01,,False,True,False,False,
0.05,0.0,0.01,0.8,1,6.899199999999996e-01,-6.899199999999996e-01,6.831207999999998e-01,1.584395999999998e-01,1.941772921051603e+00,1.951388441904890e+00,5.314803999999995e-01,,False,True,False,False,
0.05,0.0,0.01,0.8,2,6.899199999999996e-01,-6.899199999999996e-01,6.831079111111109e-01,1.584460444444443e-01,1.941754693410133e+00,1.951388441904890e+00,5.314739555555551e-01,,False,True,False,False,
0.05,0.0,0.01,1.0,1,8.623999999999995e-01,-8.623999999999995e-01,8.538759999999999e-01,7.306199999999996e-02,2.427180795975445e+00,2.439235552381113e+00,7.893379999999994e-01,-2.381674126894495e-03,True,True,True,False,
0.05,0.0,0.01,1.0,2,8.623999999999996e-01,-8.623999999999996e-01,8.538631111111110e-01,7.306844444444438e-02,2.427162568333975e+00,2.439235552381113e+00,7.893315555555551e-01,-2.424866450352892e-03,True,True,True,False,
0.05,0.0,0.05,0.6,1,4.965333333333330e-01,-4.965333333333330e-01,4.742066666666661e-01,2.628966666666666e-01,1.372833673538057e+00,1.404408348340641e+00,2.336366666666660e-01,,False,True,False,False,
0.05,0.0,0.05,0.6,2,4.965333333333329e-01,-4.965333333333329e-01,4.738844444444439e-01,2.630577777777777e-01,1.372377982501292e+00,1.404408348340640e+00,2.334755555555549e-01,,False,True,False,False,
0.05,0.0,0.05,0.8,1,6.620444444444440e-01,-6.620444444444440e-01,6.314422222222218e-01,1.842788888888887e-01,1.829266386748766e+00,1.872544464454188e+00,4.777655555555549e-01,,False,True,False,False,
0.05,0.0,0.05,0.8,2,6.620444444444439e-01,-6.620444444444439e-01,6.311199999999992e-01,1.844399999999998e-01,1.828810695712000e+00,1.872544464454187e+00,4.776044444444435e-01,,False,True,False,False,
0.05,0.0,0.05,1.0,1,8.275555555555549e-01,-8.275555555555549e-01,7.886777777777775e-01,1.056611111111111e-01,2.285699099959474e+00,2.340680580567734e+00,7.218944444444437e-01,-2.529547941226923e-01,True,True,True,False,
0.05,0.0,0.05,1.0,2,8.275555555555550e-01,-8.275555555555550e-01,7.883555555555550e-01,1.058222222222222e-01,2.285243408922709e+00,2.340680580567735e+00,7.217333333333326e-01,-2.538740168856362e-01,True,True,True,False,
0.05,0.0,0.1,0.6,1,4.703999999999997e-01,-4.703999999999997e-01,4.333599999999995e-01,2.833200000000000e-01,1.278109649130307e+00,1.330492119480607e+00,1.870799999999995e-01,,False,True,False,False,
0.05,0.0,0.1,0.6,2,4.703999999999997e-01,-4.703999999999997e-01,4.320711111111110e-01,2.839644444444444e-01,1.276286884983249e+00,1.330492119480607e+00,1.864355555555552e-01,,False,True,False,False,
0.05,0.0,0.1,0.8,1,6.271999999999996e-01,-6.271999999999996e-01,5.744799999999997e-01,2.127599999999997e-01,1.699432153632500e+00,1.773989492640809e+00,4.144399999999995e-01,,False,True,False,False,
0.05,0.0,0.1,0.8,2,6.271999999999995e-01,-6.271999999999995e-01,5.731911111111108e-01,2.134044444444443e-01,1.697609389485441e+00,1.773989492640809e+00,4.137955555555549e-01,,False,True,False,False,
0.05,0.0,0.1,1.0,1,7.839999999999995e-01,-7.839999999999995e-01,7.155999999999998e-01,1.421999999999999e-01,2.120754658134692e+00,2.217486865801011e+00,6.417999999999994e-01,-4.982760598476021e-01,True,True,True,False,
0.05,0.0,0.1,1.0,2,7.839999999999995e-01,-7.839999999999995e-01,7.143111111111109e-01,1.428444444444443e-01,2.118931893987633e+00,2.217486865801011e+00,6.411555555555549e-01,-5.014001068388680e-01,True,True,True,False,
0.05,0.05,0.01,0.6,1,4.191263999999996e-01,-4.191263999999996e-01,5.123655999999993e-01,2.438171999999999e-01,1.317328619642038e+00,1.323911548767997e+00,1.753091999999993e-01,,False,True,False,False,
0.05,0.05,0.01,0.6,2,4.191263999999996e-01,-4.191263999999996e-01,5.123527111111108e-01,2.438236444444443e-01,1.317310392000568e+00,1.323891596407901e+00,1.753027555555550e-01,,False,True,False,False,
0.05,0.05,0.01,0.8,1,5.588351999999994e-01,-5.588351999999994e-01,6.831207999999995e-01,1.584395999999997e-01,1.756391019070638e+00,1.765163797670549e+00,4.003955999999992e-01,,False,True,False,False,
0.05,0.05,0.01,0.8,2,5.588351999999994e-01,-5.588351999999994e-01,6.831079111111107e-01,1.584460444444443e-01,1.756372791429168e+00,1.765143845675615e+00,4.003891555555548e-01,,False,True,False,False,
0.05,0.05,0.01,1.0,1,6.985439999999994e-01,-6.985439999999994e-01,8.538759999999996e-01,7.306199999999995e-02,2.195453418499239e+00,2.206416047178771e+00,6.254819999999992e-01,-2.238496232081683e-01,True,True,True,False,
0.05,0.05,0.01,1.0,2,6.985439999999994e-01,-6.985439999999994e-01,8.538631111111106e-01,7.306844444444438e-02,2.195435190857768e+00,2.206396095402948e+00,6.254755555555547e-01,-2.238888055421836e-01,True,True,True,False,
0.05,0.05,0.05,0.6,1,4.021919999999996e-01,-4.021919999999996e-01,4.742066666666660e-01,2.628966666666666e-01,1.239414880445696e+00,1.243592163975168e+00,1.392953333333326e-01,,False,True,False,False,
0.05,0.05,0.05,0.6,2,4.021919999999995e-01,-4.021919999999995e-01,4.738844444444438e-01,2.630577777777776e-01,1.238959189408931e+00,1.243100754646089e+00,1.391342222222214e-01,,False,True,False,False,
0.05,0.05,0.05,0.8,1,5.362559999999994e-01,-5.362559999999994e-01,6.314422222222217e-01,1.842788888888886e-01,1.651374662625617e+00,1.656852169073556e+00,3.519771111111102e-01,,False,True,False,False,
0.05,0.05,0.05,0.8,2,5.362559999999994e-01,-5.362559999999994e-01,6.311199999999992e-01,1.844399999999998e-01,1.650918971588852e+00,1.656361013711683e+00,3.518159999999990e-01,,False,True,False,False,
0.05,0.05,0.05,1.0,1,6.703199999999992e-01,-6.703199999999992e-01,7.886777777777773e-01,1.056611111111110e-01,2.063334444805538e+00,2.070112595546911e+00,5.646588888888879e-01,-4.397677833016964e-01,True,True,True,False,
0.05,0.05,0.05,1.0,2,6.703199999999995e-01,-6.703199999999995e-01,7.883555555555548e-01,1.058222222222221e-01,2.062878753768774e+00,2.069621592828319e+00,5.644977777777769e-01,-4.406106503086126e-01,True,True,True,False,
0.05,0.05,0.1,0.6,1,3.810239999999996e-01,-3.810239999999996e-01,4.333599999999995e-01,2.833199999999998e-01,1.151712897779649e+00,1.154088693603744e+00,9.770399999999940e-02,,False,True,False,False,
0.05,0.05,0.1,0.6,2,3.810239999999997e-01,-3.810239999999997e-01,4.320711111111107e-01,2.839644444444443e-01,1.149890133632591e+00,1.152154041146911e+00,9.705955555555507e-02,,False,True,False,False,
0.05,0.05,0.1,0.8,1,5.080319999999995e-01,-5.080319999999995e-01,5.744799999999994e-01,2.127599999999997e-01,1.530903151831622e+00,1.533784578647209e+00,2.952719999999992e-01,,False,True,False,False,
0.05,0.05,0.1,0.8,2,5.080319999999996e-01,-5.080319999999996e-01,5.731911111111104e-01,2.134044444444443e-01,1.529080387684564e+00,1.531854513824063e+00,2.946275555555548e-01,,False,True,False,False,
0.05,0.05,0.1,1.0,1,6.350399999999994e-01,-6.350399999999994e-01,7.155999999999997e-01,1.421999999999999e-01,1.910093405883595e+00,1.913488083683825e+00,4.928399999999992e-01,,False,True,False,False,
0.05,0.05,0.1,1.0,2,6.350399999999994e-01,-6.350399999999994e-01,7.143111111111107e-01,1.428444444444443e-01,1.908270641736537e+00,1.911560791664015e+00,4.921955555555547e-01,,False,True,False,False,
0.05,0.1,0.01,0.6,1,3.311615999999997e-01,-3.311615999999997e-01,5.123655999999993e-01,2.438172000000000e-01,1.192927606470601e+00,1.220141816967059e+00,8.734439999999938e-02,,False,True,False,False,
0.05,0.1,0.01,0.6,2,3.311615999999997e-01,-3.311615999999997e-01,5.123527111111108e-01,2.438236444444443e-01,1.192909378829131e+00,1.220120167684258e+00,8.733795555555512e-02,,False,True,False,False,
0.05,0.1,0.01,0.8,1,4.415487999999997e-01,-4.415487999999997e-01,6.831207999999996e-01,1.584395999999998e-01,1.590523001508723e+00,1.626799766626587e+00,2.831091999999995e-01,,False,True,False,False,
0.05,0.1,0.01,0.8,2,4.415487999999996e-01,-4.415487999999996e-01,6.831079111111109e-01,1.584460444444442e-01,1.590504773867252e+00,1.626778117635008e+00,2.831027555555551e-01,,False,True,False,False,
0.05,0.1,0.01,1.0,1,5.519359999999996e-01,-5.519359999999996e-01,8.538759999999996e-01,7.306199999999996e-02,1.988118396546844e+00,2.033457716769148e+00,4.788739999999995e-01,,False,True,False,False,
0.05,0.1,0.01,1.0,2,5.519359999999998e-01,-5.519359999999998e-01,8.538631111111108e-01,7.306844444444438e-02,1.988100168905374e+00,2.033436067952317e+00,4.788675555555552e-01,,False,True,False,False,
0.05,0.1,0.05,0.6,1,3.177813333333330e-01,-3.177813333333330e-01,4.742066666666660e-01,2.628966666666666e-01,1.120040170836741e+00,1.141677605151684e+00,5.488466666666603e-02,,False,True,False,False,
0.05,0.1,0.05,0.6,2,3.177813333333330e-01,-3.177813333333330e-01,4.738844444444439e-01,2.630577777777776e-01,1.119584479799977e+00,1.141142309270023e+00,5.472355555555497e-02,,False,True,False,False,
0.05,0.1,0.05,0.8,1,4.237084444444441e-01,-4.237084444444441e-01,6.314422222222217e-01,1.842788888888886e-01,1.492208383147011e+00,1.520852558137663e+00,2.394295555555549e-01,,False,True,False,False,
0.05,0.1,0.05,0.8,2,4.237084444444440e-01,-4.237084444444440e-01,6.311199999999992e-01,1.844399999999998e-01,1.491752692110246e+00,1.520317467233117e+00,2.392684444444436e-01,,False,True,False,False,
0.05,0.1,0.05,1.0,1,5.296355555555551e-01,-5.296355555555551e-01,7.886777777777773e-01,1.056611111111111e-01,1.864376595457281e+00,1.900027851237065e+00,4.239744444444437e-01,,False,True,False,False,
0.05,0.1,0.05,1.0,2,5.296355555555551e-01,-5.296355555555551e-01,7.883555555555549e-01,1.058222222222221e-01,1.863920904420516e+00,1.899492883570717e+00,4.238133333333325e-01,,False,True,False,False,
0.05,0.1,0.1,0.6,1,3.010559999999997e-01,-3.010559999999997e-01,4.333599999999994e-01,2.833199999999999e-01,1.038621067623798e+00,1.055339954206225e+00,1.773599999999942e-02,,False,True,False,False,
0.05,0.1,0.1,0.6,2,3.010559999999997e-01,-3.010559999999997e-01,4.320711111111107e-01,2.839644444444444e-01,1.036798303476739e+00,1.053223927173684e+00,1.709155555555508e-02,,False,True,False,False,
0.05,0.1,0.1,0.8,1,4.014079999999997e-01,-4.014079999999997e-01,5.744799999999995e-01,2.127599999999997e-01,1.380114044957154e+00,1.401649960388112e+00,1.886479999999994e-01,,False,True,False,False,
0.05,0.1,0.1,0.8,2,4.014079999999996e-01,-4.014079999999996e-01,5.731911111111107e-01,2.134044444444443e-01,1.378291280810095e+00,1.399537684123996e+00,1.880035555555549e-01,,False,True,False,False,
0.05,0.1,0.1,1.0,1,5.017599999999997e-01,-5.017599999999997e-01,7.155999999999996e-01,1.421999999999999e-01,1.721607022290510e+00,1.747966198300184e+00,3.595599999999994e-01,,False,True,False,False,
0.05,0.1,0.1,1.0,2,5.017599999999995e-01,-5.017599999999995e-01,7.143111111111107e-01,1.428444444444443e-01,1.719784258143451e+00,1.745856192309996e+00,3.589155555555549e-01,,False,True,False,False,
0.1,0.0,0.01,0.6,1,4.461599999999997e-01,-4.461599999999997e-01,4.417984000000001e-01,2.791008000000000e-01,1.255762812103113e+00,1.261931045976759e+00,1.670591999999998e-01,,False,True,False,False,
0.1,0.0,0.01,0.6,2,4.461599999999998e-01,-4.461599999999998e-01,4.417735111111109e-01,2.791132444444443e-01,1.255727613898894e+00,1.261931045976760e+00,1.670467555555553e-01,,False,True,False,False,
0.1,0.0,0.01,0.8,1,5.948799999999997e-01,-5.948799999999997e-01,5.890311999999995e-01,2.054844000000000e-01,1.674303275685405e+00,1.682574727969013e+00,3.893955999999995e-01,,False,True,False,False,
0.1,0.0,0.01,0.8,2,5.948799999999997e-01,-5.948799999999997e-01,5.890063111111106e-01,2.054968444444444e-01,1.674268077481186e+00,1.682574727969013e+00,3.893831555555550e-01,,False,True,False,False,
0.1,0.0,0.01,1.0,1,7.435999999999995e-01,-7.435999999999995e-01,7.362639999999996e-01,1.318679999999999e-01,2.092843739267696e+00,2.103218409961265e+00,6.117319999999993e-01,-4.928834607421824e-01,True,True,True,False,
0.1,0.0,0.01,1.0,2,7.435999999999997e-01,-7.435999999999997e-01,7.362391111111108e-01,1.318804444444444e-01,2.092808541063478e+00,2.103218409961266e+00,6.117195555555551e-01,-4.929447551541186e-01,True,True,True,False,
0.1,0.0,0.05,0.6,1,4.281333333333330e-01,-4.281333333333330e-01,4.092266666666667e-01,2.953866666666666e-01,1.184205868588734e+00,1.210943933008001e+00,1.327466666666663e-01,,False,True,False,False,
