d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.028,0.028,0.028,1,8.027163739422717e-01,-8.027163739422717e-01,8.763409469439998e-01,6.182952652799997e-02,2.374545635199198e+00,2.376827324216663e+00,-1.472778504480887e-02,True,True,unmasked,True,0.028
0.028,0.028,0.028,2,8.027163739422718e-01,-8.027163739422718e-01,8.762835009991106e-01,6.185824950044442e-02,2.374464394364833e+00,2.376742603748490e+00,-1.492289094605437e-02,True,True,unmasked,True,0.028
0.029,0.029,0.029,1,7.962859229144957e-01,-7.962859229144957e-01,8.721786147217777e-01,6.391069263911109e-02,2.359565177463773e+00,2.362004917022646e+00,-3.792121855130648e-02,True,True,unmasked,True,0.029
0.029,0.029,0.029,2,7.962859229144956e-01,-7.962859229144956e-01,8.721148347768886e-01,6.394258261155553e-02,2.359474979000703e+00,2.361910714713585e+00,-3.813480171419159e-02,True,True,unmasked,True,0.029
0.03,0.03,0.03,1,7.898959871999996e-01,-7.898959871999996e-01,8.680334399999997e-01,6.598327999999998e-02,2.344666281403696e+00,2.347268815924495e+00,-6.066680485591258e-02,True,True,unmasked,True,0.03
0.03,0.03,0.03,2,7.898959871999996e-01,-7.898959871999996e-01,8.679628799999998e-01,6.601855999999998e-02,2.344566494494735e+00,2.347164443879087e+00,-6.089985156765110e-02,True,True,unmasked,True,0.03
0.031,0.031,0.031,1,7.835463787153699e-01,-7.835463787153699e-01,8.639053867039992e-01,6.804730664799993e-02,2.329848630011571e+00,2.332618652737010e+00,-8.297973462782726e-02,True,True,unmasked,True,0.031
0.031,0.031,0.031,2,7.835463787153698e-01,-7.835463787153698e-01,8.638275858524437e-01,6.808620707377772e-02,2.329738602992136e+00,2.332503398220573e+00,-8.323324286104006e-02,True,True,unmasked,True,0.031
0.032,0.032,0.032,1,7.772369099489279e-01,-7.772369099489279e-01,8.597944188017772e-01,7.010279059911106e-02,2.315111907148896e+00,2.318054060447809e+00,-1.048742613383092e-01,True,True,unmasked,True,0.032
0.032,0.032,0.032,2,7.772369099489277e-01,-7.772369099489277e-01,8.597089016035555e-01,7.014554919822220e-02,2.314990967567354e+00,2.317927185813523e+00,-1.051492400476465e-01,True,True,unmasked,True,0.032
0.033,0.033,0.033,1,7.709673939598721e-01,-7.709673939598721e-01,8.557005003040004e-01,7.214974984800002e-02,2.300455797544852e+00,2.303574673215343e+00,-1.263637879104220e-01,True,True,unmasked,True,0.033
0.033,0.033,0.033,2,7.709673939598722e-01,-7.709673939598722e-01,8.556067766080004e-01,7.219661169600000e-02,2.300323252222853e+00,2.303435415831588e+00,-1.266612563546590e-01,True,True,unmasked,True,0.033
0.034,0.034,0.034,1,7.647376443774291e-01,-7.647376443774291e-01,8.516235952639999e-01,7.418820236799997e-02,2.285879986795097e+00,2.289180126366923e+00,-1.474609429125321e-01,True,True,unmasked,True,0.034
0.034,0.034,0.034,2,7.647376443774290e-01,-7.647376443774290e-01,8.515211603057774e-01,7.423941984711109e-02,2.285735121887918e+00,2.289027698544897e+00,-1.477819300006467e-01,True,True,unmasked,True,0.034
0.035,0.035,0.035,1,7.585474753999996e-01,-7.585474753999996e-01,8.475636677777776e-01,7.621816611111107e-02,2.271384161360568e+00,2.274870056396745e+00,-1.681776478306819e-01,True,True,unmasked,True,0.035
0.035,0.035,0.035,2,7.585474753999997e-01,-7.585474753999997e-01,8.474520022222219e-01,7.627399888888886e-02,2.271226242417452e+00,2.274703645318366e+00,-1.685231914905605e-01,True,True,unmasked,True,0.035
0.036,0.036,0.036,1,7.523967017943037e-01,-7.523967017943037e-01,8.435206819839999e-01,7.823965900799998e-02,2.256968008566265e+00,2.260644100963881e+00,-1.885251766919235e-01,True,True,unmasked,True,0.036
0.036,0.036,0.036,2,7.523967017943038e-01,-7.523967017943038e-01,8.433992519679996e-01,7.830037401599996e-02,2.256796280590758e+00,2.260462868609991e+00,-1.888963232604730e-01,True,True,unmasked,True,0.036
0.037,0.037,0.037,1,7.462851388945271e-01,-7.462851388945271e-01,8.394946020639993e-01,8.025269896799991e-02,2.242631216600041e+00,2.246501898890287e+00,-2.085142090987796e-01,True,True,unmasked,True,0.037
0.037,0.037,0.037,2,7.462851388945274e-01,-7.462851388945274e-01,8.393628592391102e-01,8.031857038044438e-02,2.242444904110338e+00,2.246304981969170e+00,-2.089120127323015e-01,True,True,unmasked,True,0.037
0.038,0.038,0.038,1,7.402126026014720e-01,-7.402126026014720e-01,8.354853922417776e-01,8.225730387911111e-02,2.228373474511415e+00,2.232443090158799e+00,-2.281548775632267e-01,True,True,unmasked,True,0.038
0.038,0.038,0.038,2,7.402126026014720e-01,-7.402126026014720e-01,8.353427738168888e-01,8.232861309155561e-02,2.228171781600693e+00,2.232229600035031e+00,-2.285803996670385e-01,True,True,unmasked,True,0.038
0.039,0.039,0.039,1,7.341789093816954e-01,-7.341789093816954e-01,8.314930167839991e-01,8.425349160799991e-02,2.214194472210332e+00,2.218467315911101e+00,-2.474568098884820e-01,True,True,unmasked,True,0.039
