d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.0029,0.0029,0.0029,1,9.779601982242188e-01,-9.779601982242188e-01,9.865431394830728e-01,6.728430258463912e-03,2.778227263512864e+00,2.778253779172717e+00,8.122277538674404e-01,True,True,unmasked,True,0.0029
0.0029,0.0029,0.0029,2,9.779601982242188e-01,-9.779601982242188e-01,9.865430745714782e-01,6.728462714261155e-03,2.778227171714006e+00,2.778253686973670e+00,8.122273289902745e-01,True,True,unmasked,True,0.0029
0.003,0.003,0.003,1,9.772070780142720e-01,-9.772070780142720e-01,9.860818321440000e-01,6.959083927999999e-03,2.776509803602521e+00,2.776538170460229e+00,8.070121702513082e-01,True,True,unmasked,True,0.003
0.003,0.003,0.003,2,9.772070780142719e-01,-9.772070780142719e-01,9.860817602879999e-01,6.959119855999997e-03,2.776509701982791e+00,2.776538068382187e+00,8.070117033659463e-01,True,True,unmasked,True,0.003
0.0031,0.0031,0.0031,1,9.764544138933936e-01,-9.764544138933936e-01,9.856207059090695e-01,7.189647045464792e-03,2.774793244819458e+00,2.774823524715461e+00,8.018382200635417e-01,True,True,unmasked,True,0.0031
0.0031,0.0031,0.0031,2,9.764544138933934e-01,-9.764544138933934e-01,9.856206266305847e-01,7.189686684707371e-03,2.774793132702749e+00,2.774823412076204e+00,8.018377086264965e-01,True,True,unmasked,True,0.0031
0.0032,0.0032,0.0032,1,9.757022056580695e-01,-9.757022056580695e-01,9.851597607410800e-01,7.420119629459912e-03,2.773077586823253e+00,2.773109841538516e+00,7.967045795167146e-01,True,True,unmasked,True,0.0032
0.0032,0.0032,0.0032,2,9.757022056580695e-01,-9.757022056580695e-01,9.851596735461601e-01,7.420163226919825e-03,2.773077463511015e+00,2.773109717632967e+00,7.967040209227313e-01,True,True,unmasked,True,0.0032
0.0033,0.0033,0.0033,1,9.749504531048426e-01,-9.749504531048426e-01,9.846989966028300e-01,7.650501698584799e-03,2.771362829273563e+00,2.771397120529613e+00,7.916100074062136e-01,True,True,unmasked,True,0.0033
0.0033,0.0033,0.0033,2,9.749504531048424e-01,-9.749504531048424e-01,9.846989009816608e-01,7.650549509169603e-03,2.771362694044808e+00,2.771396984629830e+00,7.916093989889951e-01,True,True,unmasked,True,0.0033
0.0034,0.0034,0.0034,1,9.741991560303165e-01,-9.741991560303165e-01,9.842384134571266e-01,7.880793271436799e-03,2.769648971830143e+00,2.769685361289099e+00,7.865533376013262e-01,True,True,unmasked,True,0.0034
0.0034,0.0034,0.0034,2,9.741991560303166e-01,-9.741991560303166e-01,9.842383088840301e-01,7.880845557984710e-03,2.769648823941451e+00,2.769685212644265e+00,7.865526766342256e-01,True,True,unmasked,True,0.0034
0.0035,0.0035,0.0035,1,9.734483142311543e-01,-9.734483142311543e-01,9.837780112667779e-01,8.110994366611111e-03,2.767936014152833e+00,2.767974563417441e+00,7.815334724201817e-01,True,True,unmasked,True,0.0035
