d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
3.200000000000000e-02,3.200000000000000e-02,3.200000000000000e-02,1.365333333333333e-03,1.365333333333388e-03,1.365333333333399e-03,1.365333333333441e-03,1.365333333333441e-03,1.365333333333218e-03,5.003413333333333e-01,1.365333333333663e-03,True,3.200000000000000e-02
3.300000000000000e-02,3.300000000000000e-02,3.300000000000000e-02,1.452000000000000e-03,1.452000000000005e-03,1.452000000000113e-03,1.452000000000120e-03,1.452000000000120e-03,1.452000000000120e-03,5.003630000000000e-01,1.452000000000231e-03,True,3.300000000000000e-02
3.400000000000000e-02,3.400000000000000e-02,3.400000000000000e-02,1.541333333333334e-03,1.541333333333367e-03,1.541333333333242e-03,1.541333333333339e-03,1.541333333333339e-03,1.541333333333283e-03,5.003853333333333e-01,1.541333333333506e-03,True,3.400000000000000e-02
3.500000000000000e-02,3.500000000000000e-02,3.500000000000000e-02,1.633333333333334e-03,1.633333333333358e-03,1.633333333333362e-03,1.633333333333375e-03,1.633333333333375e-03,1.633333333333487e-03,5.004083333333333e-01,1.633333333333597e-03,True,3.500000000000000e-02
3.600000000000000e-02,3.600000000000000e-02,3.600000000000000e-02,1.728000000000000e-03,1.727999999999976e-03,1.727999999999875e-03,1.728000000000007e-03,1.728000000000007e-03,1.728000000000118e-03,5.004320000000000e-01,1.728000000000188e-03,True,3.600000000000000e-02
3.700000000000000e-02,3.700000000000000e-02,3.700000000000000e-02,1.825333333333333e-03,1.825333333333342e-03,1.825333333333221e-03,1.825333333333623e-03,1.825333333333623e-03,1.825333333333123e-03,5.004563333333333e-01,1.825333333333679e-03,True,3.700000000000000e-02
3.800000000000000e-02,3.800000000000000e-02,3.800000000000000e-02,1.925333333333333e-03,1.925333333333331e-03,1.925333333333550e-03,1.925333333333501e-03,1.925333333333501e-03,1.925333333333501e-03,5.004813333333333e-01,1.925333333333723e-03,True,3.800000000000000e-02
3.900000000000000e-02,3.900000000000000e-02,3.900000000000000e-02,2.028000000000000e-03,2.027999999999964e-03,2.027999999999960e-03,2.028000000000085e-03,2.028000000000085e-03,2.028000000000030e-03,5.005070000000000e-01,2.028000000000196e-03,True,3.900000000000000e-02
4.000000000000000e-02,4.000000000000000e-02,4.000000000000000e-02,2.133333333333333e-03,2.133333333333327e-03,2.133333333333542e-03,2.133333333333376e-03,2.133333333333376e-03,2.133333333333209e-03,5.005333333333334e-01,2.133333333333765e-03,True,4.000000000000000e-02
4.100000000000000e-02,4.100000000000000e-02,4.100000000000000e-02,2.241333333333333e-03,2.241333333333324e-03,2.241333333333553e-03,2.241333333333262e-03,2.241333333333262e-03,2.241333333333262e-03,5.005603333333334e-01,2.241333333333650e-03,True,4.100000000000000e-02
