p,scenario,trial,seed,n_transmissions,sifted_bits,qber,reference_qber,difference_from_reference
0.04,single,2,3326439713,1000,494,0.02834008097165992,0.026666666666666658,0.0016734143049932614
0.04,single,3,3979003933,1000,476,0.018907563025210083,0.026666666666666658,-0.007759103641456575
0.04,single,4,91456012,1000,497,0.03420523138832998,0.026666666666666658,0.007538564721663324
0.04,single,5,193729682,1000,520,0.019230769230769232,0.026666666666666658,-0.007435897435897426
0.04,single,6,1855265462,1000,474,0.02109704641350211,0.026666666666666658,-0.005569620253164549
0.04,single,7,2470305709,1000,525,0.01904761904761905,0.026666666666666658,-0.007619047619047609
0.04,single,8,1354115074,1000,469,0.029850746268656716,0.026666666666666658,0.003184079601990058
0.04,single,9,1512332589,1000,478,0.027196652719665274,0.026666666666666658,0.0005299860529986156
0.04,single,10,372338527,1000,496,0.016129032258064516,0.026666666666666658,-0.010537634408602142
0.04,single,11,3907069737,1000,478,0.03138075313807531,0.026666666666666658,0.0047140864714086544
0.04,single,12,2910247318,1000,503,0.02982107355864811,0.026666666666666658,0.0031544068919814525
0.04,single,13,1712639436,1000,502,0.03187250996015936,0.026666666666666658,0.005205843293492704
0.04,single,14,4233166257,1000,510,0.021568627450980392,0.026666666666666658,-0.005098039215686266
0.04,single,15,1735462935,1000,505,0.03564356435643564,0.026666666666666658,0.008976897689768983
0.04,single,16,2953309125,1000,491,0.028513238289205704,0.026666666666666658,0.0018465716225390463
0.04,single,17,3642974802,1000,504,0.015873015873015872,0.026666666666666658,-0.010793650793650786
0.04,single,18,287589219,1000,491,0.034623217922606926,0.026666666666666658,0.007956551255940268
0.04,single,19,133198171,1000,494,0.030364372469635626,0.026666666666666658,0.003697705802968968
0.04,single,20,3009623074,1000,494,0.030364372469635626,0.026666666666666658,0.003697705802968968
0.04,single,21,2682003476,1000,483,0.016563146997929608,0.026666666666666658,-0.01010351966873705
0.04,single,22,1929163243,1000,525,0.03238095238095238,0.026666666666666658,0.00571428571428572
0.04,single,23,1068061120,1000,502,0.01195219123505976,0.026666666666666658,-0.014714475431606897
0.04,single,24,2585755050,1000,511,0.03718199608610567,0.026666666666666658,0.010515329419439015
0.04,single,25,1479422692,1000,504,0.031746031746031744,0.026666666666666658,0.005079365079365086
